名詞,1662096
動詞,793810
、,262114
。,261672
の,253968
た,193881
に,192380
は,181097
て,178033
を,167740
が,153614
副詞,152678
だ,142686
「,123689
」,123447
…,121861
と,102637
形容詞,83840
ない,75969
で,71172
連体詞,61258
も,61148
！,58201
か,47857
？,45658
接続詞,40178
感動詞,39852
助詞,37564
から,36135
な,32516
　,32069
ん,29705
ある,29652
う,27941
し,26547
接頭詞,25613
記号,24595
です,23118
よ,20385
助動詞,18606
ます,16268
ば,14799
ね,12757
─,10316
って,10127
じゃ,9750
という,9369
まで,9182
だけ,8826
へ,8252
でも,8113
『,8061
』,8014
けど,7855
わ,7128
や,6832
ながら,6760
たい,6123
ので,5424
として,5403
だろ,5241
だっ,5185
ぬ,4924
なんて,4726
より,4691
フィラー,4585
ぞ,4111
とか,3846
なかっ,3470
なら,3320
のに,3312
かも,3283
など,3251
らしい,3202
ほど,3052
くらい,3008
だって,2771
たら,2748
しか,2548
たり,2477
まし,2439
ばかり,2331
（,2253
）,2234
